isin,name,type
ABBC~USD,CRYP,"Alibabacoin (ABBC) zu USD"
ADA~BTC,CRYP,"Cardano (ADA) zu Bitcoin (BTC)"
ADA~ETH,CRYP,"Cardano (ADA) zu Ethereum (ETH)"
ADA~EUR,CRYP,"Cardano (ADA) zu EUR"
ADA~USD,CRYP,"Cardano (ADA) zu USD"
AEDFXA0M6V00,STK,"DP World"
AEDFXA1EN018,STK,"ADES International Holding"
AGP8696W1045,STK,"Sinovac Biotech"
AN8068571086,STK,"Schlumberger"
AT000000STR1,STK,"STRABAG"
AT00000AMAG3,STK,"AMAG Austria Metall"
AT00000BENE6,STK,"Bene"
AT00000FACC2,STK,"FACC"
AT00000VIE62,STK,"Vienna International Airport"
AT0000340500,ZER,"RAIFFEISEN CENTROBANK AG"
AT0000454202,ZER,"RAIFFEISEN CENTROBANK AG"
AT0000455290,ZER,"RAIFFEISEN CENTROBANK AG"
AT0000481189,ZER,"RAIFFEISEN CENTROBANK AG"
AT0000481197,ZER,"RAIFFEISEN CENTROBANK AG"
AT0000481205,ZER,"RAIFFEISEN CENTROBANK AG"
AT0000489034,ZER,"RAIFFEISEN CENTROBANK AG"
AT0000489380,ZER,"RAIFFEISEN CENTROBANK AG"
AT0000497409,FND,"Schoellerbank Zinsstruktur Plus A"
AT0000606306,STK,"Raiffeisen Bank International"
AT0000609607,STK,"PORR"
AT0000612692,FND,"Schoellerbank Aktienfonds hdg T"
AT0000613005,STK,"C-QUADRAT Investment Akt"
AT0000617907,STK,"ECO Business-Immobilien Akt"
AT0000622618,FND,"Amundi GF Euro Core Rent 2"
AT0000624705,STK,"BKS Bank Akt"
AT0000625108,STK,"Oberbank"
AT0000634365,FND,"Real Invest Austria T"
AT0000634704,FND,"C-QUADRAT ARTS Tot Ret Balanced T €"
AT0000634720,FND,"C-QUADRAT ARTS Tot Return Bond T"
AT0000634738,FND,"C-QUADRAT ARTS Tot Return Dynamic T"
AT0000637483,FND,"ESPA Bond USA High Yield € R01 A"
AT0000640552,STK,"Burgenland Holding"
AT0000641352,STK,"CA-Immobilien-Anlagen"
AT0000644505,STK,"Lenzing"
AT0000645403,STK,"KTM Akt"
AT0000652011,STK,"Erste Group Bank"
AT0000652250,STK,"S IMMO"
AT0000653670,FND,"Kepler Small Cap Aktienfonds T"
AT0000654652,FND,"Value Investment Klassik A"
AT0000662275,FND,"3 Banken Österreich-Fonds"
AT0000668272,FND,"Amundi Eastern Europe Stock 2"
AT0000672258,FND,"Schoellerbank Realzins Plus A"
AT0000672266,FND,"Schoellerbank Realzins Plus T"
AT0000676903,STK,"RHI"
AT0000685227,FND,"Amundi Osteuropa Stock (T)"
AT0000686084,FND,"ERSTE Responsible Bond € R01 T"
AT0000697750,STK,"conwert Immobilien Invest"
AT0000701156,FND,"3 Banken Nachhaltigkeitsfonds"
AT0000703327,FND,"ABSOLUTE PLUS OPTIX PROTECT"
AT0000704333,FND,"ESPA Stock Istanbul € R01 A"
AT0000707575,FND,"Portfolio Management Solide T"
AT0000707682,FND,"ESPA Best of World T"
AT0000712716,FND,"Raiffeisen-HealthCare-Aktien VT"
AT0000718580,FND,"Kepler EM Rentenfonds A"
AT0000718598,FND,"Kepler EM Rentenfonds T"
AT0000719695,FND,"All Japan T"
AT0000720008,STK,"Telekom Austria"
AT0000721436,FND,"All Asia T"
AT0000722640,FND,"Kepler Vorsorge Mixfonds T"
AT0000722673,FND,"Kepler Europa Rentenfonds T"
AT0000726435,IND,"HTX EUR"
AT0000726443,IND,"CTX EUR"
AT0000726450,IND,"PTX EUR"
AT0000726476,IND,"CECE Index (CECE Overal Index EUR)"
AT0000730007,STK,"Andritz"
AT0000737705,STK,"BWT"
AT0000741053,STK,"EVN"
AT0000741301,STK,"Wiener Privatbank"
AT0000743059,STK,"OMV"
AT0000745856,FND,"Raiffeisen-Eurasien-Aktien A"
AT0000746409,STK,"Verbund Akt.(A)"
AT0000746748,FND,"ESPA Stock Biotec € R01 A"
AT0000746755,FND,"ESPA Stock Biotec € R01 T"
AT0000746763,FND,"ESPA Stock Biotec TT"
AT0000747100,FND,"Evolution 1 VT IT"
AT0000747555,STK,"Aurea Software GmbH"
AT0000753512,FND,"ESPA Stock Techno TC €"
AT0000754692,FND,"AlpenBank Aktienstrategie T"
AT0000758305,STK,"Palfinger"
AT0000765128,FND,"3 Banken Offensiv-Pensionsfonds"
