0,Afghanistan,7
1,Burundi,7
2,Central African Republic,7
3,Cuba,7
4,Eritrea,7
5,Iran,7
6,Libya,7
7,Mozambique,7
8,North Korea,7
9,Palestine,7
10,Somalia,7
11,Sudan,7
12,Syria,7
13,Venezuela,7
14,Yemen,7
15,Zimbabwe,7
16,Angola,6
17,Argentina,6
18,Democratic Republic of the Congo,6
19,Equatorial Guinea,6
20,Ethiopia,6
21,Gambia,6
22,Guinea,6
23,Guinea-Bissau,6
24,Iraq,6
25,Kiribati,6
26,Laos,6
27,Lebanon,6
28,Liberia,6
29,Malawi,6
30,Mali,6
31,Mauritania,6
32,Niger,6
33,Republic of the Congo,6
34,Sao Tome and Principe,6
35,Sierra Leone,6
36,Tajikistan,6
37,Turkmenistan,6
38,Ukraine,6
39,Antigua and Barbuda,5
40,Belarus,5
41,Benin,5
42,Bosnia and Herzegovina,5
43,Burkina Faso,5
44,Chad,5
45,Comoros,5
46,Djibouti,5
47,Dominica,5
48,Ecuador,5
49,Gabon,5
50,Guyana,5
51,Haiti,5
52,Jordan,5
53,Kenya,5
54,Kyrgyzstan,5
55,Madagascar,5
56,Moldova,5
57,Mongolia,5
58,Montserrat,5
59,Nicaragua,5
60,Nigeria,5
61,Pakistan,5
62,Palau,5
63,Papua New Guinea,5
64,Rwanda,5
65,Saint Vincent and the Grenadines,5
66,Suriname,5
67,Swaziland,5
68,Togo,5
69,Tuvalu,5
70,Zambia,5
71,Albania,4
72,Armenia,4
73,Azerbaijan,4
74,Bahrain,4
75,Barbados,4
76,Belize,4
77,Bhutan,4
78,Burma,4
79,Cambodia,4
80,Cameroon,4
81,Cape Verde,4
82,Cyprus,4
83,Egypt,4
84,Fiji,4
85,Georgia,4
86,Ghana,4
87,Greece,4
88,Grenada,4
89,Ivory Coast,4
90,Jamaica,4
91,Kazakhstan,4
92,Lesotho,4
93,Macedonia,4
94,Maldives,4
95,Micronesia,4
96,Montenegro,4
97,Namibia,4
98,Nepal,4
99,Saint Lucia,4
100,Samoa,4
101,Senegal,4
102,Seychelles,4
103,Sri Lanka,4
104,Tanzania,4
105,Trinidad and Tobago,4
106,Tunisia,4
107,Turkey,4
108,Uganda,4
109,Uzbekistan,4
110,Algeria,3
111,Bahamas,3
112,Bangladesh,3
113,Bolivia,3
114,Brazil,3
115,Colombia,3
116,El Salvador,3
117,Guatemala,3
118,Honduras,3
119,New Caledonia,3
120,Oman,3
121,Panama,3
122,Paraguay,3
123,Qatar,3
124,Russia,3
125,Serbia,3
126,Solomon Islands,3
127,South Africa,3
128,Tonga,3
129,Uruguay,3
130,Vanuatu,3
131,Vietnam,3
132,Aruba,2
133,Bermuda,2
134,Chile,2
135,Costa Rica,2
136,Croatia,2
137,Dominican Republic,2
138,Hungary,2
139,India,2
140,Indonesia,2
141,Israel,2
142,Kuwait,2
143,Malaysia,2
144,Mauritius,2
145,Mexico,2
146,Morocco,2
147,Norfolk Island,2
148,Peru,2
149,Philippines,2
150,Puerto Rico,2
151,Romania,2
152,San Marino,2
153,Saudi Arabia,2
154,Thailand,2
155,United Arab Emirates,2
156,Andorra,1
157,Australia,1
158,Austria,1
159,Belgium,1
160,Botswana,1
161,Brunei,1
162,Bulgaria,1
163,Canada,1
164,China,1
165,Czechia,1
166,Denmark,1
167,Estonia,1
168,Faroe Islands,1
169,Finland,1
170,France,1
171,Germany,1
172,Gibraltar,1
173,Vatican,1
174,Hong Kong,1
175,Iceland,1
176,Ireland,1
177,Italy,1
178,Japan,1
179,Latvia,1
180,Liechtenstein,1
181,Lithuania,1
182,Luxembourg,1
183,Macao,1
184,Malta,1
185,Monaco,1
186,Netherlands,1
187,New Zealand,1
188,Norway,1
189,Poland,1
190,Portugal,1
191,Singapore,1
192,Slovakia,1
193,Slovenia,1
194,South Korea,1
195,Spain,1
196,Sweden,1
197,Switzerland,1
198,Taiwan,1
199,United Kingdom,1
200,United States,1
